,country,year,healthcare,education,safety,environment,infrastructure,qol
33,Belgium,2024,,,,,,0.6587130649589701
34,Bulgaria,2008,0.48526884721527574,-1.0138311320989786,-0.4332356139760785,-0.2619262823402398,-0.45776244431318946,
35,Bulgaria,2009,0.49620818101183234,-0.9793774050500351,-0.42094679751423314,-0.574847062127252,-0.4620274384664266,
36,Bulgaria,2010,0.736873524536089,-0.9547676000150753,-0.4193744396315374,-0.44446340388266364,-0.4643053330709964,
37,Bulgaria,2011,0.5071475148083889,-0.9264663242248723,-0.4332050827550553,-0.13154262409565137,-0.46572699778874216,-3.3096765891172453
38,Bulgaria,2012,0.48526884721527574,-0.8612503408822295,-0.4316632560933828,-0.2880030139891576,-0.4707153895193171,-3.1888252656564666
39,Bulgaria,2013,0.6165408527739606,-0.6877512153857652,-0.4302588199263147,-0.41838667223374604,-0.4715213585322815,
40,Bulgaria,2014,0.5180868486049455,-0.5240960119032845,-0.4274041507606438,-0.3140797456380752,-0.47411338359847444,-2.8775017476107654
41,Bulgaria,2015,0.34305750786003114,-0.48102885309210563,-0.41563436505619317,-0.1576193557445692,-0.4778775640443239,-2.878815348952731
42,Bulgaria,2016,0.8900241976878902,-0.44657512604316263,-0.4045210006037417,-0.3140797456380752,-0.47983953315606137,-2.225955481996133
43,Bulgaria,2017,0.6274801865705173,-0.42934826251869096,-0.4006893323653278,-0.20977281904240438,-0.4802523903341946,-1.9382767881058025
44,Bulgaria,2018,0.9009635314844467,-0.4035079672319834,-0.3923390434154776,-0.3662332089359106,-0.48001185615215175,-1.8358158834325335
45,Bulgaria,2019,1.0322355370431349,-0.47241542132986974,-0.39334657370924375,-0.3662332089359106,-0.48001185615215175,-1.7162781613137197
46,Bulgaria,2020,0.8790848638913337,-0.3370614936375929,-0.40181898754318685,-0.6009237937761697,-0.4881271922492835,-1.5008475412314628
